timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,pitch,yaw,roll,head_drop,drowsy
8.661,True,0.313,0.443,0.283,False,False,-169.8,7.9,-5.9,False,False
8.696,True,0.312,0.443,0.278,False,False,-170.4,7.0,-6.1,False,False
8.723,True,0.31,0.444,0.272,False,False,-170.4,7.6,-5.9,False,False
8.761,True,0.306,0.445,0.267,False,False,-170.7,7.4,-6.0,False,False
8.791,True,0.305,0.447,0.261,False,False,-170.0,7.4,-6.1,False,False
8.841,True,0.32,0.45,0.256,False,False,-169.2,7.7,-6.0,False,False
8.871,True,0.314,0.447,0.25,False,False,-169.4,7.6,-6.1,False,False
8.901,True,0.309,0.451,0.25,False,False,-167.0,7.8,-5.9,False,False
8.937,True,0.313,0.447,0.25,False,False,-166.5,7.0,-5.8,False,False
8.971,True,0.315,0.446,0.25,False,False,-167.1,7.3,-5.6,False,False
9.001,True,0.314,0.448,0.25,False,False,-166.5,7.3,-5.8,False,False
9.031,True,0.318,0.448,0.25,False,False,-166.9,7.2,-6.0,False,False
9.066,True,0.311,0.45,0.25,False,False,-167.9,7.9,-6.3,False,False
9.096,True,0.316,0.451,0.25,False,False,-167.8,7.5,-6.3,False,False
9.131,True,0.315,0.447,0.25,False,False,-168.3,7.9,-6.4,False,False
9.161,True,0.315,0.444,0.25,False,False,-168.3,8.0,-6.8,False,False
9.194,True,0.308,0.447,0.25,False,False,-168.7,7.7,-7.1,False,False
9.241,True,0.307,0.45,0.25,False,False,-169.7,7.5,-7.4,False,False
9.273,True,0.31,0.452,0.25,False,False,-169.4,8.0,-7.4,False,False
9.303,True,0.297,0.45,0.25,False,False,-169.0,7.7,-7.5,False,False
9.331,True,0.304,0.45,0.244,False,False,-169.6,8.6,-7.9,False,False
9.363,True,0.31,0.448,0.239,False,False,-170.0,8.1,-8.0,False,False
9.401,True,0.3,0.447,0.233,False,False,-169.2,8.3,-8.0,False,False
9.441,True,0.291,0.447,0.228,False,False,-168.6,9.1,-7.9,False,False
9.461,True,0.295,0.447,0.222,False,False,-167.9,10.1,-7.7,False,False
9.497,True,0.299,0.447,0.217,False,False,-168.2,10.3,-8.1,False,False
9.527,True,0.295,0.449,0.211,False,False,-168.2,10.7,-8.1,False,False
9.561,True,0.294,0.451,0.206,False,False,-168.0,11.6,-8.1,False,False
9.595,True,0.296,0.448,0.2,False,False,-167.7,12.3,-8.5,False,False
9.641,True,0.294,0.45,0.194,False,False,-167.8,12.6,-8.8,False,False
9.671,True,0.302,0.446,0.189,False,False,-167.3,13.1,-8.8,False,False
9.704,True,0.299,0.447,0.183,False,False,-168.1,12.9,-9.1,False,False
9.735,True,0.301,0.446,0.178,False,False,-167.8,13.8,-9.3,False,False
9.763,True,0.303,0.445,0.172,False,False,-168.5,13.5,-9.7,False,False
9.801,True,0.294,0.444,0.167,False,False,-168.6,13.6,-9.8,False,False
9.834,True,0.301,0.443,0.161,False,False,-168.8,13.8,-9.7,False,False
9.861,True,0.299,0.443,0.161,False,False,-168.8,13.6,-9.7,False,False
9.897,True,0.302,0.444,0.161,False,False,-168.9,14.0,-9.7,False,False
9.926,True,0.305,0.445,0.161,False,False,-169.1,13.7,-9.7,False,False
9.961,True,0.298,0.444,0.161,False,False,-169.5,14.2,-9.6,False,False
9.991,True,0.297,0.444,0.161,False,False,-169.7,14.0,-9.6,False,False
10.043,True,0.29,0.446,0.161,False,False,-169.5,14.3,-9.6,False,False
10.072,True,0.294,0.445,0.161,False,False,-169.5,14.1,-9.6,False,False
10.101,True,0.296,0.446,0.161,False,False,-169.5,14.4,-9.5,False,False
10.142,True,0.296,0.445,0.161,False,False,-169.2,14.3,-9.5,False,False
10.171,True,0.295,0.447,0.161,False,False,-169.6,14.2,-9.5,False,False
10.201,True,0.297,0.445,0.161,False,False,-169.0,13.9,-9.5,False,False
10.231,True,0.3,0.446,0.161,False,False,-168.8,14.1,-9.4,False,False
10.261,True,0.301,0.447,0.161,False,False,-168.9,14.1,-9.3,False,False
10.297,True,0.302,0.447,0.156,False,False,-168.9,14.3,-9.3,False,False
10.327,True,0.299,0.447,0.15,False,False,-168.9,14.5,-9.3,False,False
10.361,True,0.301,0.446,0.144,False,False,-169.0,14.3,-9.3,False,False
10.393,True,0.3,0.446,0.139,False,False,-169.2,14.2,-9.3,False,False
10.441,True,0.299,0.445,0.133,False,False,-169.2,13.9,-9.3,False,False
10.471,True,0.292,0.447,0.128,False,False,-169.0,14.0,-9.2,False,False
10.501,True,0.292,0.446,0.122,False,False,-168.9,14.0,-9.2,False,False
10.531,True,0.292,0.445,0.117,False,False,-168.4,13.9,-9.3,False,False
10.571,True,0.291,0.445,0.111,False,False,-168.7,13.8,-9.3,False,False
10.601,True,0.289,0.446,0.106,False,False,-168.6,13.7,-9.2,False,False
10.64,True,0.291,0.446,0.1,False,False,-168.5,13.7,-9.2,False,False
10.671,True,0.289,0.447,0.094,False,False,-168.3,13.8,-9.1,False,False
10.701,True,0.293,0.447,0.089,False,False,-168.4,14.1,-9.2,False,False
10.731,True,0.294,0.446,0.083,False,False,-168.3,13.8,-9.2,False,False
10.761,True,0.292,0.445,0.078,False,False,-168.5,14.1,-9.2,False,False
10.791,True,0.297,0.445,0.072,False,False,-168.3,13.9,-9.2,False,False
10.841,True,0.297,0.447,0.067,False,False,-168.4,13.9,-9.2,False,False
10.871,True,0.297,0.446,0.061,False,False,-168.3,13.6,-9.1,False,False
10.905,True,0.294,0.447,0.056,False,False,-168.3,13.9,-9.1,False,False
10.935,True,0.294,0.446,0.05,False,False,-168.3,13.6,-9.0,False,False
10.971,True,0.294,0.446,0.044,False,False,-168.3,13.7,-9.0,False,False
10.998,True,0.292,0.445,0.039,False,False,-168.6,13.7,-9.1,False,False
11.033,True,0.291,0.445,0.033,False,False,-168.5,13.5,-9.0,False,False
11.061,True,0.289,0.445,0.028,False,False,-168.3,13.3,-9.1,False,False
11.095,True,0.292,0.445,0.022,False,False,-168.4,13.0,-9.0,False,False
11.131,True,0.288,0.444,0.017,False,False,-168.5,12.9,-8.9,False,False
11.161,True,0.285,0.444,0.017,False,False,-168.3,12.9,-9.0,False,False
11.185,True,0.287,0.445,0.017,False,False,-168.3,13.2,-8.9,False,False
11.239,True,0.285,0.445,0.017,False,False,-168.2,13.1,-9.0,False,False
11.267,True,0.281,0.445,0.017,False,False,-168.0,13.2,-8.9,False,False
11.307,True,0.282,0.445,0.017,False,False,-168.1,13.3,-8.9,False,False
11.338,True,0.281,0.445,0.017,False,False,-168.4,13.0,-9.0,False,False
11.371,True,0.281,0.445,0.017,False,False,-168.2,12.9,-9.0,False,False
11.398,True,0.276,0.445,0.017,False,False,-168.2,12.8,-8.9,False,False
11.431,True,0.278,0.444,0.017,False,False,-168.0,13.2,-8.8,False,False
11.463,True,0.283,0.445,0.017,False,False,-168.0,13.4,-8.8,False,False
